"MiniGrid-BlockedUnlockPickup-v0", "pick up the green box"
"MiniGrid-LavaCrossingS9N1-v0", "avoid the lava and get to the green goal square"
"MiniGrid-LavaCrossingS9N2-v0", "avoid the lava and get to the green goal square"
"MiniGrid-LavaCrossingS9N3-v0", "avoid the lava and get to the green goal square"
"MiniGrid-LavaCrossingS11N5-v0", "avoid the lava and get to the green goal square"
"MiniGrid-SimpleCrossingS9N1-v0", "find the opening and get to the green goal square"
"MiniGrid-SimpleCrossingS9N2-v0", "find the opening and get to the green goal square"
"MiniGrid-SimpleCrossingS9N3-v0", "find the opening and get to the green goal square"
"MiniGrid-SimpleCrossingS11N5-v0", "find the opening and get to the green goal square"
"MiniGrid-DistShift1-v0", "get to the green goal square"
"MiniGrid-DistShift2-v0", "get to the green goal square"
"MiniGrid-DoorKey-5x5-v0", "use the key to open the door and then get to the goal"
"MiniGrid-DoorKey-6x6-v0", "use the key to open the door and then get to the goal"
"MiniGrid-DoorKey-8x8-v0", "use the key to open the door and then get to the goal"
"MiniGrid-DoorKey-16x16-v0", "use the key to open the door and then get to the goal"
"MiniGrid-Dynamic-Obstacles-5x5-v0", "get to the green goal square"
"MiniGrid-Dynamic-Obstacles-Random-5x5-v0", "get to the green goal square"
"MiniGrid-Dynamic-Obstacles-6x6-v0", "get to the green goal square"
"MiniGrid-Dynamic-Obstacles-Random-6x6-v0", "get to the green goal square"
"MiniGrid-Dynamic-Obstacles-8x8-v0", "get to the green goal square"
"MiniGrid-Dynamic-Obstacles-16x16-v0", "get to the green goal square"
"MiniGrid-Empty-5x5-v0", "get to the green goal square"
"MiniGrid-Empty-Random-5x5-v0", "get to the green goal square"
"MiniGrid-Empty-6x6-v0", "get to the green goal square"
"MiniGrid-Empty-Random-6x6-v0", "get to the green goal square"
"MiniGrid-Empty-8x8-v0", "get to the green goal square"
"MiniGrid-Empty-16x16-v0", "get to the green goal square"
"MiniGrid-Fetch-5x5-N2-v0", "go fetch a green key"
"MiniGrid-Fetch-6x6-N2-v0", "get a yellow ball"
"MiniGrid-Fetch-8x8-N3-v0", "go fetch a grey ball"
"MiniGrid-FourRooms-v0", "reach the goal"
"MiniGrid-GoToDoor-5x5-v0", "go to the grey door"
"MiniGrid-GoToDoor-6x6-v0", "go to the red door"
"MiniGrid-GoToDoor-8x8-v0", "go to the purple door"
"MiniGrid-GoToObject-6x6-N2-v0", "go to the yellow ball"
"MiniGrid-GoToObject-8x8-N2-v0", "go to the blue key"
"MiniGrid-KeyCorridorS3R1-v0", "pick up the blue ball"
"MiniGrid-KeyCorridorS3R2-v0", "pick up the grey ball"
"MiniGrid-KeyCorridorS3R3-v0", "pick up the green ball"
"MiniGrid-KeyCorridorS4R3-v0", "pick up the blue ball"
"MiniGrid-KeyCorridorS5R3-v0", "pick up the yellow ball"
"MiniGrid-KeyCorridorS6R3-v0", "pick up the grey ball"
"MiniGrid-LavaGapS5-v0", "avoid the lava and get to the green goal square"
"MiniGrid-LavaGapS6-v0", "avoid the lava and get to the green goal square"
"MiniGrid-LavaGapS7-v0", "avoid the lava and get to the green goal square"
"MiniGrid-LockedRoom-v0", "get the purple key from the green room, unlock the purple door and go to the goal"
"MiniGrid-MemoryS17Random-v0", "go to the matching object at the end of the hallway"
"MiniGrid-MemoryS13Random-v0", "go to the matching object at the end of the hallway"
"MiniGrid-MemoryS13-v0", "go to the matching object at the end of the hallway"
"MiniGrid-MemoryS11-v0", "go to the matching object at the end of the hallway"
"MiniGrid-MemoryS9-v0", "go to the matching object at the end of the hallway"
"MiniGrid-MemoryS7-v0", "go to the matching object at the end of the hallway"
"MiniGrid-MultiRoom-N2-S4-v0", "traverse the rooms to get to the goal"
"MiniGrid-MultiRoom-N4-S5-v0", "traverse the rooms to get to the goal"
"MiniGrid-MultiRoom-N6-v0", "traverse the rooms to get to the goal"
"MiniGrid-ObstructedMaze-1Dl-v0", "pick up the blue ball"
"MiniGrid-ObstructedMaze-1Dlh-v0", "pick up the blue ball"
"MiniGrid-ObstructedMaze-1Dlhb-v0", "pick up the blue ball"
"MiniGrid-ObstructedMaze-2Dl-v0", "pick up the blue ball"
"MiniGrid-ObstructedMaze-2Dlh-v0", "pick up the blue ball"
"MiniGrid-ObstructedMaze-2Dlhb-v1", "pick up the blue ball"
"MiniGrid-ObstructedMaze-1Q-v1", "pick up the blue ball"
"MiniGrid-ObstructedMaze-2Q-v1", "pick up the blue ball"
"MiniGrid-ObstructedMaze-Full-v1", "pick up the blue ball"
"MiniGrid-Playground-v0", ""
"MiniGrid-PutNear-6x6-N2-v0", "put the red box near the blue box"
"MiniGrid-PutNear-8x8-N3-v0", "put the yellow ball near the red key"
"MiniGrid-RedBlueDoors-6x6-v0", "open the red door then the blue door"
"MiniGrid-RedBlueDoors-8x8-v0", "open the red door then the blue door"
"MiniGrid-Unlock-v0", "open the door"
"MiniGrid-UnlockPickup-v0", "pick up the blue box"
"BabyAI-GoToRedBallGrey-v0", "go to the red ball"
"BabyAI-GoToRedBall-v0", "go to the red ball"
"BabyAI-GoToRedBallNoDists-v0", "go to the red ball"
"BabyAI-GoToObj-v0", "go to the grey key"
"BabyAI-GoToObjS4-v0", "go to the purple ball"
"BabyAI-GoToObjS6-v0", "go to the red box"
"BabyAI-GoToLocal-v0", "go to a blue key"
"BabyAI-GoToLocalS5N2-v0", "go to the red ball"
"BabyAI-GoToLocalS6N2-v0", "go to the blue box"
"BabyAI-GoToLocalS6N3-v0", "go to the green ball"
"BabyAI-GoToLocalS6N4-v0", "go to a grey key"
"BabyAI-GoToLocalS7N4-v0", "go to the yellow key"
"BabyAI-GoToLocalS7N5-v0", "go to the blue ball"
"BabyAI-GoToLocalS8N2-v0", "go to the blue ball"
"BabyAI-GoToLocalS8N3-v0", "go to the green ball"
"BabyAI-GoToLocalS8N4-v0", "go to the yellow ball"
"BabyAI-GoToLocalS8N5-v0", "go to the red ball"
"BabyAI-GoToLocalS8N6-v0", "go to the blue box"
"BabyAI-GoToLocalS8N7-v0", "go to the grey ball"
"BabyAI-GoTo-v0", "go to a red box"
"BabyAI-GoToOpen-v0", "go to a yellow box"
"BabyAI-GoToObjMaze-v0", "go to the red key"
"BabyAI-GoToObjMazeOpen-v0", "go to the blue box"
"BabyAI-GoToObjMazeS4R2-v0", "go to the grey key"
"BabyAI-GoToObjMazeS4-v0", "go to the red ball"
"BabyAI-GoToObjMazeS5-v0", "go to the green box"
"BabyAI-GoToObjMazeS6-v0", "go to the purple ball"
"BabyAI-GoToObjMazeS7-v0", "go to the grey ball"
"BabyAI-GoToImpUnlock-v0", "go to a grey ball"
"BabyAI-GoToSeq-v0", "go to the green door"
"BabyAI-GoToSeqS5R2-v0", "go to the grey ball"
"BabyAI-GoToRedBlueBall-v0", "go to the blue ball"
"BabyAI-GoToDoor-v0", "go to the purple door"
"BabyAI-GoToObjDoor-v0", "go to the red door"
"BabyAI-Open-v0", "open a grey door"
"BabyAI-OpenRedDoor-v0", "open the red door"
"BabyAI-OpenDoor-v0", "open the blue door"
"BabyAI-OpenDoorDebug-v0", "open a door on your right"
"BabyAI-OpenDoorColor-v0", "open the grey door"
"BabyAI-OpenDoorLoc-v0", "open a door on your left"
"BabyAI-OpenTwoDoors-v0", "open the yellow door, then open the green door"
"BabyAI-OpenRedBlueDoors-v0", "open the red door, then open the blue door"
"BabyAI-OpenRedBlueDoorsDebug-v0", "open the red door, then open the blue door"
"BabyAI-OpenDoorsOrderN2-v0", "open the purple door"
"BabyAI-OpenDoorsOrderN4-v0", "open the purple door"
"BabyAI-OpenDoorsOrderN2Debug-v0", "open the yellow door"
"BabyAI-OpenDoorsOrderN4Debug-v0", "open the yellow door, then open the red door"
"BabyAI-Pickup-v0", "pick up a green key"
"BabyAI-UnblockPickup-v0", "pick up the green key"
"BabyAI-PickupLoc-v0", "pick up the yellow ball behind you"
"BabyAI-PickupDist-v0", "pick up the purple ball"
"BabyAI-PickupDistDebug-v0", "pick up the grey ball"
"BabyAI-PickupAbove-v0", "pick up the blue box"
"BabyAI-PutNextLocal-v0", "put the grey key next to the red ball"
"BabyAI-PutNextLocalS5N3-v0", "put the green key next to the red box"
"BabyAI-PutNextLocalS6N4-v0", "put the green box next to the yellow ball"
"BabyAI-PutNextS4N1-v0", "put the blue key next to the red key"
"BabyAI-PutNextS5N2-v0", "put the grey key next to the green box"
"BabyAI-PutNextS5N1-v0", "put the blue key next to the green key"
"BabyAI-PutNextS6N3-v0", "put the blue key next to the red box"
"BabyAI-PutNextS7N4-v0", "put the yellow ball next to the purple ball"
"BabyAI-PutNextS5N2Carrying-v0", "put the yellow box next to the red ball"
"BabyAI-PutNextS6N3Carrying-v0", "put the green box next to the red key"
"BabyAI-PutNextS7N4Carrying-v0", "put the grey box next to the green box"
"BabyAI-Unlock-v0", "open a blue door"
"BabyAI-UnlockLocal-v0", "open the door"
"BabyAI-UnlockLocalDist-v0", "open the door"
"BabyAI-KeyInBox-v0", "open the door"
"BabyAI-UnlockPickup-v0", "pick up the grey box"
"BabyAI-UnlockPickupDist-v0", "pick up the red box"
"BabyAI-BlockedUnlockPickup-v0", "pick up the box"
"BabyAI-UnlockToUnlock-v0", "pick up the ball"
"BabyAI-ActionObjDoor-v0", "go to the purple box"
"BabyAI-FindObjS5-v0", "pick up the box"
"BabyAI-FindObjS6-v0", "pick up the ball"
"BabyAI-FindObjS7-v0", "pick up the box"
"BabyAI-KeyCorridor-v0", "pick up the ball"
"BabyAI-KeyCorridorS3R1-v0", "pick up the ball"
"BabyAI-KeyCorridorS3R2-v0", "pick up the ball"
"BabyAI-KeyCorridorS3R3-v0", "pick up the ball"
"BabyAI-KeyCorridorS4R3-v0", "pick up the ball"
"BabyAI-KeyCorridorS5R3-v0", "pick up the ball"
"BabyAI-KeyCorridorS6R3-v0", "pick up the ball"
"BabyAI-OneRoomS8-v0", "pick up the ball"
"BabyAI-OneRoomS12-v0", "pick up the ball"
"BabyAI-OneRoomS16-v0", "pick up the ball"
"BabyAI-OneRoomS20-v0", "pick up the ball"
"BabyAI-MoveTwoAcrossS5N2-v0", "put the grey key next to the grey box, then put the red key next to the yellow key"
"BabyAI-MoveTwoAcrossS8N9-v0", "put the grey key next to the green key, then put the red key next to the green ball"
"BabyAI-Synth-v0", "open the grey door"
"BabyAI-SynthS5R2-v0", "go to a purple box"
"BabyAI-SynthLoc-v0", "put a yellow box next to a yellow ball"
"BabyAI-SynthSeq-v0", "pick up the ball in front of you"
"BabyAI-MiniBossLevel-v0", "go to the purple door and go to the grey door on your right"
"BabyAI-BossLevel-v0", "open a red door and open the door in front of you"
"BabyAI-BossLevelNoUnlock-v0", "open a door on your left and put a blue ball next to a red door"